CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster_group
214,Male,31,194,69,25
215,Female,50,200,14,26
216,Female,36,201,90,25
217,Female,42,208,32,26
218,Male,33,213,86,25
219,Female,36,213,15,26
220,Male,32,222,88,25
221,Female,40,230,39,27
222,Male,28,233,97,28
223,Female,36,234,24,27
224,Female,36,238,68,28
225,Male,52,240,17,27
226,Male,30,248,85,28
227,Male,58,250,23,27
228,Male,27,255,69,28
229,Male,59,255,8,27
230,Female,35,256,91,28
231,Female,37,258,16,27
232,Male,32,260,79,28
233,Male,46,266,26,27
234,Male,29,267,75,28
235,Male,41,267,20,27
236,Male,30,268,95,28
237,Female,43,273,27,27
238,Female,39,275,63,28
239,Male,44,275,13,30
240,Male,38,275,75,28
241,Male,47,278,10,30
242,Female,27,288,92,29
243,Female,37,288,13,30
244,Female,30,292,86,29
245,Female,34,296,15,30
246,Male,30,297,69,29
247,Female,56,311,14,30
248,Male,29,313,90,29
249,Female,19,316,32,30
250,Female,31,325,86,29
